ner_state_name,gen_edu_category,gender,sample_size,fe_rate,fe_rate_se,ur,ur_se
Mizoram,Primary or Middle,Male,90,2.1822878380137114,1.3691193419006622,7.70651192117085,5.452630090101136
Mizoram,Matriculation,Female,17,0,0,2.8018526161324346,2.859096729045967
Mizoram,Matriculation,Male,27,14.423472799202584,6.882004224950588,13.421010271110259,7.428254845150489
Mizoram,HS or Diploma,Female,13,12.413182516384708,9.413329701108884,29.827331139545144,11.87707370220217
Mizoram,HS or Diploma,Male,30,37.80309586531114,13.88730484759825,2.575062247343062,2.629662556076466
Mizoram,UG,Female,33,40.429641938840504,10.72037437573428,17.505998556094625,7.187202929120344
Mizoram,UG,Male,37,60.00308518828973,11.906483060818186,30.465410073924797,11.408754362919279
Mizoram,PG and above,Female,12,39.8682004248745,16.463077005193323,54.624999240985716,18.376805185241846
Mizoram,PG and above,Male,15,40.46908104584295,15.55321576313737,59.53091895415707,15.553215763137368
Nagaland,Not Literate,Female,2,0,0,100,0
Nagaland,Not Literate,Male,2,0,0,100,0
Nagaland,Below Primary,Female,2,0,0,0,0
Nagaland,Below Primary,Male,8,0,0,0,0
Nagaland,Primary or Middle,Female,100,5.112321904882002,2.4204425663543128,15.660573011204887,6.674383732225325
Nagaland,Primary or Middle,Male,124,20.612177371839675,7.250528643021148,15.974770675442809,5.578587596656431
Nagaland,Matriculation,Female,35,5.952675435502264,3.6191074881541345,33.037366527385714,11.73613559231729
Nagaland,Matriculation,Male,59,11.011860766506121,7.061607994586281,44.66652559947876,8.216332453802494
Nagaland,HS or Diploma,Female,27,31.71350224743505,13.382762003427226,40.01860276302268,11.363547670964916
Nagaland,HS or Diploma,Male,37,21.154618829298027,9.924224640849657,45.80214356083573,9.855414555284666
Nagaland,UG,Female,46,8.890219718866842,3.961832549902137,79.77495275882116,8.231007294376205
Nagaland,UG,Male,50,8.974698109358375,3.998983391519164,83.76702041559675,5.039732254072876
Nagaland,PG and above,Female,12,14.566033014502189,9.710764041399473,76.98310777754429,13.319887032411943
Nagaland,PG and above,Male,13,6.652816771209194,6.620300590287455,90.907003880093,7.192257333486582
Sikkim,Not Literate,Female,3,100,0,0,0
Sikkim,Not Literate,Male,4,13.634370889960545,13.793540448063915,0,0
Sikkim,Below Primary,Female,2,100,0,0,0
Sikkim,Below Primary,Male,4,92.24528319746003,8.734782728436398,0,0
Sikkim,Primary or Middle,Female,43,27.000709711256487,11.630046775663397,4.865746695250926,3.254613055045123
Sikkim,Primary or Middle,Male,84,55.09101788369585,7.627385982143696,2.118927710402318,1.282625264859022
Sikkim,Matriculation,Female,15,8.922380323257464,7.627530782439523,17.298993152239873,9.613387699935295
Sikkim,Matriculation,Male,33,48.19366277781847,10.150948776695945,10.292439205675045,5.4895943310538575
Sikkim,HS or Diploma,Female,44,66.58823616872593,9.01395695381325,11.68580627633217,5.838691042250614
